1	316.307
2	128.633
3	43.651
4	171.297
5	90.532
6	110.925
7	144.124
8	119.379
9	218.856
10	146.518
11	178.433
12	145.865
13	170.566
14	220.343
15	193.768
16	122.736
17	144.051
18	105.415
19	240.66
20	131.067
21	130.129
22	123.286
23	190.816
24	266.741
25	123.143
26	148.139
27	118.552
28	146.959
29	299.77
30	151.341
31	206.206
32	170.868
33	435.304
34	235.106
35	168.179
36	172.783
37	381.768
38	221.438
39	193.957
40	275.076
41	252.298
42	165.472
43	126.03
44	112.246
45	123.302
46	187.81
47	119.863
48	127.805
49	120.629
50	130.465
51	222.282
52	150.257
53	96.494
54	89.526
55	134.425
56	158.716
57	150.784
58	193.534
59	196.555
60	192.116
